DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0729821	7	2	3	1	12	1	1	0	12612	28	0	35.2132	0	0
DL	0.0732321	7	3	0	1	12	1	1	0	12612	28	0	35.2312	0	0
DL	0.0734821	7	3	1	1	12	1	1	0	12612	28	0	35.243	0	0
DL	0.0737143	7	3	2	1	11	1	1	0	11560	28	0	35.2545	0	0
UL	0.0737321	7	3	2	12	1	1	1	0	1052	28	0	25.2584 	0	0
DL	0.0739643	7	3	3	1	11	1	1	0	11560	28	0	36.2634	0	0
UL	0.0739821	7	3	3	12	1	1	1	0	1052	28	0	26.2361 	0	0
DL	0.0742143	7	4	0	1	11	1	1	0	11560	28	0	36.2717	0	0
UL	0.0742321	7	4	0	12	1	1	1	0	1052	28	0	26.223 	0	0
DL	0.0744821	7	4	1	1	12	1	1	0	12612	28	0	36.2749	0	0
DL	0.0747321	7	4	2	1	12	1	1	0	12612	28	0	36.2985	0	0
DL	0.0749821	7	4	3	1	12	1	1	0	12612	28	0	36.6116	0	0
DL	0.0752321	7	5	0	1	12	1	1	0	12612	28	0	36.5984	0	0
DL	0.0754643	7	5	1	1	11	1	1	0	11560	28	0	36.5978	0	0
UL	0.0754821	7	5	1	12	1	1	1	0	1052	28	0	26.6221 	0	0
DL	0.0757143	7	5	2	1	11	1	1	0	11560	28	0	36.6216	0	0
UL	0.0757321	7	5	2	12	1	1	1	0	1052	28	0	26.6135 	0	0
DL	0.0759643	7	5	3	1	11	1	1	0	11560	28	0	36.6057	0	0
UL	0.0759821	7	5	3	12	1	1	1	0	1052	28	0	24.7416 	0	0
DL	0.0762321	7	6	0	1	12	1	1	0	12612	28	0	34.7804	0	0
DL	0.0764821	7	6	1	1	12	1	1	0	12612	28	0	34.7813	0	0
DL	0.0767321	7	6	2	1	12	1	1	0	12612	28	0	34.7898	0	0
DL	0.0769821	7	6	3	1	12	1	1	0	12612	28	0	34.7627	0	0
DL	0.0772143	7	7	0	1	11	1	1	0	11560	28	0	36.7729	0	0
UL	0.0772321	7	7	0	12	1	1	1	0	1052	28	0	26.764 	0	0
DL	0.0774643	7	7	1	1	11	1	1	0	11560	28	0	36.7916	0	0
UL	0.0774821	7	7	1	12	1	1	1	0	1052	28	0	26.7859 	0	0
DL	0.0777143	7	7	2	1	11	1	1	0	11560	28	0	36.8141	0	0
UL	0.0777321	7	7	2	12	1	1	1	0	1052	28	0	26.7889 	0	0
DL	0.0779821	7	7	3	1	12	1	1	0	12612	28	0	36.8072	0	0
DL	0.0782321	7	8	0	1	12	1	1	0	12612	28	0	35.3908	0	0
